price,bedrooms,bathrooms,parking space,Type of Property,Erf Size,Floor Size,Levies,Rates and Taxes,Pets Allowed,Pool
R 599 000,1.0,1.0,1.0,Apartment/Flat,,52m²,R2083,R390,,1
R 495 000,1.0,1.0,,Apartment/Flat,,60m²,R1687,R1235,0.0,0
R 5 995 000,4.0,4.0,2.0,House,630m²,568m²,R1757,R2471,,1
R 10 500 000,,,,CommercialProperty,12058m²,,,,,0
R 2 300 000,3.0,2.0,3.0,House,990m²,990m²,,,,0
R 765 000,2.0,1.0,1.0,Apartment/Flat,,56m²,R750,R1000,0.0,0
R 675 000,2.0,1.0,1.0,Apartment/Flat,,51m²,R750,R1000,0.0,0
R 665 000,2.0,1.0,1.0,Apartment/Flat,,51m²,R660,R180,,0
R 1 575 000,,,,,,,,,,0
R 3 900 000,3.0,2.0,2.0,House,,,,,1.0,0
R 1 580 000,3.0,2.5,3.0,House,495m²,395m²,,R416,1.0,0
R 699 000,2.0,1.0,1.0,Townhouse,96m²,1273m²,R100,R350,,0
R 6 495 000,3.0,3.0,5.0,House,2023m²,,,R4088,1.0,1
R 2 800 000,6.0,2.5,3.0,House,1207m²,550m²,,R1700,1.0,0
R 849 000,3.0,2.0,3.0,House,467m²,300m²,,,,0
R 839 000,2.0,1.0,1.0,Apartment/Flat,,56m²,R808,R200,,0
R 3 850 000,3.0,2.0,6.0,House,340m²,280m²,R3890,R2250,1.0,1
R 2 200 000,2.0,2.0,2.0,House,770m²,,,R700,,0
R 755 000,2.0,1.0,2.0,Apartment/Flat,,56m²,R750,R500,0.0,0
R 755 000,2.0,1.0,1.0,Apartment/Flat,,56m²,R700,R200,,0
R 1 095 000,3.0,2.0,2.0,House,450m²,,,R1800,1.0,0
R 2 850 000,3.0,2.0,3.0,House,743m²,,,R1471,1.0,1
R 460 000,2.0,1.0,1.0,Apartment/Flat,,,,R330,1.0,0
R 755 000,2.0,1.0,1.0,Apartment/Flat,56m²,56m²,R824,R234,,0
R 755 000,2.0,1.0,1.0,Apartment/Flat,,51m²,R1100,R150,1.0,0
R 1 450 000,4.0,3.0,10.0,House,1440m²,,,,,1
R 2 250 000,5.0,3.0,,House,,,R2500,R1200,,0
R 665 000,2.0,1.0,,Apartment/Flat,,51m²,R1200,R165,,0
R 665 000,2.0,1.0,2.0,Apartment/Flat,,51m²,R750,R500,0.0,0
R 995 000,,,,House,485m²,,,,,0
R 1 750 000,,,,CommercialProperty,495m²,350m²,,,,0
R 755 000,2.0,1.0,2.0,Apartment/Flat,,56m²,R750,R500,0.0,0
R 1 260 000,4.0,2.0,1.0,House,495m²,,,R496,1.0,0
R 5 995 000,4.0,3.0,5.0,House,1487m²,,,R2467,1.0,1
R 670 000,2.0,2.0,2.0,Townhouse,17315m²,69m²,R1200,R420,0.0,0
R 750 000,3.0,2.0,5.0,House,77210m²,109m²,R1069,R385,1.0,0
R 755 000,2.0,1.0,2.0,Apartment/Flat,,56m²,R824,R200,,0
R 1 650 000,2.0,2.0,,Apartment/Flat,,135m²,R3596,R366,,0
R 405 000,1.0,1.0,,Apartment/Flat,1000m²,26m²,R760,R200,,0
R 839 000,2.0,1.0,1.0,Apartment/Flat,75m²,56m²,R750,R150,1.0,0
R 755 000,2.0,1.0,1.0,Apartment/Flat,,51m²,R700,R200,,0
R 755 000,2.0,1.0,1.0,Apartment/Flat,,56m²,R800,R300,,0
R 4 550 000,4.0,3.0,4.0,House,957m²,310m²,,,1.0,1
R 2 475 000,2.0,2.0,1.0,Apartment/Flat,,127m²,R3575,R1373,,1
R 675 000,2.0,1.0,1.0,Apartment/Flat,,51m²,R750,R200,,0
R 2 500 000 - R 4 300 000,,,,,,,,,,0
R 1 699 000,3.0,2.0,4.0,House,,246m²,R2400,R1280,,0
R 839 000,2.0,1.0,1.0,Apartment/Flat,,56m²,R1300,R300,,0
R 999 000,4.0,3.0,5.0,House,458m²,,,,1.0,0
R 665 000,2.0,1.0,2.0,Apartment/Flat,,51m²,R750,R200,,0
R 4 950 000,3.0,2.0,3.0,House,1018m²,,,R2750,,1
R 765 000,2.0,1.0,1.0,Apartment/Flat,,56m²,R700,R200,,0
R 755 000,2.0,1.0,2.0,Apartment/Flat,,56m²,R750,R500,0.0,0
R 755 000,2.0,1.0,2.0,Apartment/Flat,,56m²,R750,R500,0.0,0
R 839 000,2.0,1.0,2.0,Apartment/Flat,,56m²,R750,R500,0.0,0
R 1 700 000,2.0,2.0,2.0,Apartment/Flat,,97m²,R2616,R1400,1.0,1
